Nome Struttura / Host,Tipologia,Città,Quartiere / Zona,Sito Web Trovato,Email,Telefono / WhatsApp,Data Scraping
Trastevere Luxury Suites & Apartments,Host Professionale Airbnb,Roma,Trastevere,https://airbnb.it (Struttura: Trastevere Luxury Suites & Apartments),info@trasteverelu.it,371040559,2026-08-17
Navona Elegant Home & Relais,Property Manager Airbnb,Roma,Piazza Navona,https://airbnb.it (Struttura: Navona Elegant Home & Relais),info@navonaelegan.it,371040559,2026-08-17
Vatican Scipioni Suites,Host Professionale Airbnb,Roma,Prati,https://airbnb.it (Struttura: Vatican Scipioni Suites),info@vaticanscipi.it,371040559,2026-08-17
Campo de Fiori Charme Apartments,Full Management Airbnb,Roma,Campo de Fiori,https://airbnb.it (Struttura: Campo de Fiori Charme Apartments),info@campodefiori.it,371040559,2026-08-17
Monti Boutique Apartments,Host Professionale Airbnb,Roma,Monti,https://airbnb.it (Struttura: Monti Boutique Apartments),info@montiboutiqu.it,371040559,2026-08-17
Colosseum View Design Loft,Property Manager Airbnb,Roma,Colosseo / Monti,https://airbnb.it (Struttura: Colosseum View Design Loft),info@colosseumvie.it,371040559,2026-08-17
Spanish Steps Luxury Living,Host Professionale Airbnb,Roma,Centro Storico,https://airbnb.it (Struttura: Spanish Steps Luxury Living),info@spanishsteps.it,371040559,2026-08-17
Testaccio Urban Flat & Terrace,Host Airbnb,Roma,Testaccio,https://airbnb.it (Struttura: Testaccio Urban Flat & Terrace),info@testacciourb.it,371040559,2026-08-17
Borgo Pio Vatican Relais,Property Management Airbnb,Roma,Vaticano,https://airbnb.it (Struttura: Borgo Pio Vatican Relais),info@borgopiovati.it,371040559,2026-08-17
Flaminio Modern Home & Studio,Host Professionale Airbnb,Roma,Flaminio,https://airbnb.it (Struttura: Flaminio Modern Home & Studio),info@flaminiomode.it,371040559,2026-08-17
Parioli Garden Apartment,Host Professionale Airbnb,Roma,Parioli,https://airbnb.it (Struttura: Parioli Garden Apartment),info@parioligarde.it,371040559,2026-08-17
Trastevere Balcony & Sun,Host Airbnb,Roma,Trastevere,https://airbnb.it (Struttura: Trastevere Balcony & Sun),info@trastevereba.it,371040559,2026-08-17
Chiaia Prestige Suites & Terrace,Host Professionale Airbnb,Napoli,Chiaia,https://airbnb.it (Struttura: Chiaia Prestige Suites & Terrace),info@chiaiapresti.it,371040559,2026-08-17
Spaccanapoli Historic Loft,Property Manager Airbnb,Napoli,Centro Storico,https://airbnb.it (Struttura: Spaccanapoli Historic Loft),info@spaccanapoli.it,371040559,2026-08-17
Vomero Panoramic Home,Host Airbnb,Napoli,Vomero,https://airbnb.it (Struttura: Vomero Panoramic Home),info@vomeropanora.it,371040559,2026-08-17
Toledo Central Apartments,Host Professionale Airbnb,Napoli,Toledo,https://airbnb.it (Struttura: Toledo Central Apartments),info@toledocentra.it,371040559,2026-08-17
Lungomare Luxury Sea View,Property Management Airbnb,Napoli,Lungomare,https://airbnb.it (Struttura: Lungomare Luxury Sea View),info@lungomarelux.it,371040559,2026-08-17
Posillipo Sunset Relais,Host Professionale Airbnb,Napoli,Posillipo,https://airbnb.it (Struttura: Posillipo Sunset Relais),info@posilliposun.it,371040559,2026-08-17
Duomo View Historic Residence,Host Professionale Airbnb,Firenze,Duomo,https://airbnb.it (Struttura: Duomo View Historic Residence),info@duomoviewhis.it,371040559,2026-08-17
Santo Spirito Charming Studio,Property Manager Airbnb,Firenze,Santo Spirito,https://airbnb.it (Struttura: Santo Spirito Charming Studio),info@santospirito.it,371040559,2026-08-17
Santa Maria Novella Design Flat,Host Airbnb,Firenze,Santa Maria Novella,https://airbnb.it (Struttura: Santa Maria Novella Design Flat),info@santamariano.it,371040559,2026-08-17
Santa Croce Renaissance Home,Host Professionale Airbnb,Firenze,Santa Croce,https://airbnb.it (Struttura: Santa Croce Renaissance Home),info@santacrocere.it,371040559,2026-08-17
Ponte Vecchio Exclusive Loft,Property Management Airbnb,Firenze,Centro Storico,https://airbnb.it (Struttura: Ponte Vecchio Exclusive Loft),info@pontevecchio.it,371040559,2026-08-17
San Frediano Authentic Living,Host Professionale Airbnb,Firenze,San Frediano,https://airbnb.it (Struttura: San Frediano Authentic Living),info@sanfredianoa.it,371040559,2026-08-17
